user_id,nearest_user_id,distance
1,9,0.13076478
1,20,0.15002668
1,26,0.15165699
1,22,0.15222663
2,7,0.04937744
2,24,0.07465148
2,23,0.5140474
2,25,0.5339875
4,10,0.38446778
4,1,0.30689687
4,16,0.102541566
4,11,0.115846336
5,22,0.24551123
5,10,0.032847285
5,21,0.079108894
5,1,0.22422099
6,26,0.23749077
6,22,0.23726577
6,9,0.21856183
6,23,0.21904969
7,2,0.04937744
7,24,0.10129714
7,1,0.4576034
7,9,0.46884352
8,16,0.39976025
8,6,0.30536157
8,23,0.24987292
8,25,0.28954923
9,20,0.05839324
9,26,0.060346425
9,22,0.06251776
9,1,0.13076478
10,1,0.24861437
10,5,0.032847285
10,21,0.083140135
10,22,0.27495557
11,9,0.3533935
11,1,0.18308872
11,4,0.115846336
11,16,0.06680894
15,26,0.07950634
15,20,0.08517325
15,22,0.08591133
15,9,0.14212096
16,11,0.06680894
16,4,0.102541566
16,1,0.27389717
16,6,0.3362844
20,15,0.08517325
20,9,0.05839324
20,26,0.0017306805
20,22,0.0084447265
21,5,0.079108894
21,10,0.083140135
21,26,0.17310101
21,22,0.17582321
22,15,0.08591133
22,9,0.06251776
22,26,0.009465337
22,20,0.0084447265
23,25,0.033962846
23,6,0.21904969
23,26,0.23271519
23,15,0.23745334
24,23,0.42488933
24,25,0.45149475
24,2,0.07465148
24,7,0.10129714
25,23,0.033962846
25,6,0.24138308
25,15,0.25257647
25,26,0.256724
26,9,0.060346425
26,20,0.0017306805
26,22,0.009465337
26,15,0.07950634
